segment_id,speech_id,date,party,sentence_idx,mention_text,mention_type,masked_sentence,animal,cargo,disease,flood_tide,machine,vermin,invasion,threat
950203995_19,950203995,19780125,Unknown,0,Migrant,direct,Title IV extends the Community and [MASK] Health Center Acts and modifies the services which a Community Health Center must provide .,0.0016774841351434588,2.7154110284755006e-06,0.0001182767518912442,1.0210291293333285e-05,5.335680179996416e-05,1.6733347365516238e-05,1.847882231231779e-05,4.6552671847166494e-05
920032782_6,920032782,19710429,Unknown,0,migrant,direct,The Subcommittee recommended and the Congress enacted legislation which provides grants to schools of public health . assistance for [MASK] agricultural workers health programs . federal aid to community mental health centers . federal assistance to medical libraries . federal dollars for vaccination programs . an extension of the Regional Medical Program which funds projects across the country in health education and delivery to control heart disease . cancer . stroke and now kidney disease .,2.77779035968706e-05,3.463369921519188e-06,1.2563457858050242e-05,6.301972462097183e-06,8.811301995592657e-06,5.910704658163013e-06,0.0003376213426236063,1.259084001503652e-06
950360311_10,950360311,19780918,D,0,migrant,direct,The bill modifies and extends for 3 fiscal years the [MASK] health and community health center programs and the State mental health and community mental health center programs .,0.00030704025994054973,2.1080113299376535e-07,7.143856055336073e-05,1.742648009894765e-06,1.1060711585741956e-05,1.078501441043045e-06,1.70962684933329e-05,1.1159952919115312e-05
990158642_3,990158642,19860305,D,0,Migrant,direct,This legislation would authorize $ 455 million in fiscal year 1986 . $ 493 million in fiscal year 1987 and $ 533 million in fiscal year 1988 for the Community Health Centers and [MASK] Health Programs . including $ 405 million in fiscal year 1986 . $ 437 million in fiscal year 1987 . and $ 472 million in fiscal year 1988 for the Community Health Centers Program and $ 50 million in fiscal year 1988 for the Migrant Health Program .,0.0007141233654692769,2.955228865175741e-06,2.7751857487601228e-05,1.2517066352302209e-05,1.334617718384834e-05,6.2704239098820835e-06,3.1831281376071274e-05,1.179401260742452e-05
990158642_3,990158642,19860305,D,1,Migrant,direct,This legislation would authorize $ 455 million in fiscal year 1986 . $ 493 million in fiscal year 1987 and $ 533 million in fiscal year 1988 for the Community Health Centers and Migrant Health Programs . including $ 405 million in fiscal year 1986 . $ 437 million in fiscal year 1987 . and $ 472 million in fiscal year 1988 for the Community Health Centers Program and $ 50 million in fiscal year 1988 for the [MASK] Health Program .,0.00041287983185611665,3.5352245504327584e-06,3.135241422569379e-05,2.0166286049061455e-05,5.031180080550257e-06,4.490225364861544e-06,5.4348485718946904e-05,1.0826270226971246e-05
990158642_3,990158642,19860305,D,2,Migrant,direct,The [MASK] Health Centers Program provides similar Federal grants for delivery of primary care services to migrant and seasonal farmworkers .,0.003421236528083682,7.268883564393036e-06,2.6020210498245433e-05,0.00011002398241544142,7.033234578557312e-05,2.0856165065197274e-05,0.00012655141472350806,9.151451195066329e-06
990158642_3,990158642,19860305,D,3,migrant,direct,The Migrant Health Centers Program provides similar Federal grants for delivery of primary care services to [MASK] and seasonal farmworkers .,2.2082856958149932e-05,9.063471111403487e-07,7.198501407401636e-06,7.334175734285964e-06,6.075229066482279e-07,9.089670243156434e-07,5.533004241442541e-06,9.444462989449676e-07
1030200730_4,1030200730,19940802,D,0,immigrants,direct,California has a large number of undocumented [MASK] . both adults and children . who pose a financial burden on the State because of the mandated services provided to them .,7.366341833403567e-06,2.7829960913550167e-07,3.5443763408693485e-06,1.6159039262220176e-07,1.4197897257872683e-07,1.1276259925807608e-07,1.150733805843629e-05,8.254426120402059e-08
1030200730_4,1030200730,19940802,D,1,immigrant,direct,The education of illegal [MASK] children is costing California some $ 1.4 billion dollars this year .,5.5212894949363545e-06,2.560659311257041e-07,9.189405432152853e-07,7.121554403966002e-07,5.228899908615858e-07,3.9619197877982515e-07,3.933173502446152e-06,1.9594410787249217e-06
1030200730_4,1030200730,19940802,D,2,Immigrant,direct,The amendment to the Emergency [MASK] Education Aid program . that I am pleased to cosponsor with Senator GRAHAM . asserts the Federal Governments financial responsibility to assist States with the costs associated with educating illegal immigrant children . and raises the authorization level of this immigrant education assistance program in order to meet this responsibility .,1.1836564226541668e-05,3.330952267788234e-06,6.297243089647964e-06,6.733043119311333e-05,3.5671946534421295e-06,4.25794780767319e-07,6.865130126243457e-05,2.4319946533069015e-05
